frame_idx,class_name,track_id,foot_x,foot_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,person,1,750,350,729,224,772,350
0,car,2,60,538,0,461,121,538
1,person,1,750,350,728,225,773,350
1,motorcycle,3,137,536,1,370,274,536
1,person,4,16,412,0,368,32,412
2,person,5,96,537,16,235,176,537
2,person,6,754,350,736,226,773,350
2,kite,7,748,293,723,234,774,293
3,person,5,230,537,137,225,324,537
3,umbrella,8,759,277,733,215,786,277
3,person,9,754,350,738,262,771,350
4,person,5,360,536,274,219,446,536
4,umbrella,8,755,277,729,210,781,277
4,person,9,756,350,740,265,772,350
5,person,5,470,536,392,219,548,536
5,person,10,741,347,721,280,762,347
6,person,5,567,520,483,219,652,520
6,umbrella,8,720,294,694,222,746,294
6,person,10,707,348,682,288,733,348
7,person,5,654,528,582,222,727,528
7,umbrella,8,689,289,663,219,716,289
7,person,11,683,327,669,271,697,327
8,person,5,686,525,626,220,746,525
8,person,12,936,501,914,287,959,501
8,kite,13,950,220,941,141,959,220
9,person,14,887,500,815,245,959,500
9,person,5,687,525,631,218,743,525
9,umbrella,15,614,292,586,221,642,292
9,umbrella,16,905,324,851,171,959,324
9,person,17,618,351,602,286,634,351
10,person,14,887,500,816,282,959,500
10,person,5,688,525,634,220,743,525
10,umbrella,15,565,314,534,232,597,314
10,umbrella,18,887,345,816,194,959,345
10,person,19,571,355,543,231,600,355
10,person,20,579,355,559,301,600,355
11,person,21,921,501,883,191,959,501
11,person,22,691,525,636,222,746,525
11,person,23,514,352,496,224,533,352
11,kite,24,485,324,451,256,519,324
11,umbrella,25,485,324,451,256,519,324
11,kite,26,924,275,889,127,959,275
11,umbrella,16,924,275,889,127,959,275
12,person,5,722,503,639,230,805,503
12,person,27,932,470,906,192,959,470
12,person,28,464,356,444,224,485,356
12,umbrella,29,931,262,903,135,959,262
12,kite,30,433,319,408,241,459,319
12,kite,30,422,314,408,247,437,314
13,person,22,812,496,741,221,884,496
13,person,31,934,425,909,189,959,425
13,person,28,409,357,387,223,432,357
13,umbrella,29,920,278,882,144,959,278
13,kite,32,375,310,354,241,397,310
14,person,22,872,531,798,219,946,531
14,person,28,349,362,315,227,383,362
14,person,33,919,452,880,193,959,452
14,umbrella,29,918,249,877,129,959,249
14,umbrella,34,317,305,289,245,345,305
14,kite,35,317,305,289,245,345,305
15,person,36,299,373,267,232,332,373
15,person,37,912,535,866,218,959,535
15,person,37,876,468,834,195,919,468
15,umbrella,38,866,233,789,114,943,233
15,umbrella,39,866,202,789,115,943,202
16,person,40,824,498,765,188,884,498
16,person,36,254,383,219,232,289,383
16,person,41,942,536,925,372,959,536
16,umbrella,42,785,268,702,140,869,268
16,kite,43,785,268,702,140,869,268
17,person,40,806,533,749,172,863,533
17,person,36,204,394,175,233,234,394
17,kite,44,165,365,141,318,189,365
17,umbrella,45,770,228,652,110,888,228
17,umbrella,46,769,314,651,110,888,314
18,person,40,758,534,683,154,833,534
18,person,36,149,402,109,234,190,402
18,kite,47,87,344,67,279,107,344
18,umbrella,46,715,332,556,71,874,332
19,person,48,89,417,53,230,126,417
19,person,40,656,536,563,139,749,536
19,kite,49,54,352,26,250,82,352
19,umbrella,50,54,352,26,250,82,352
19,umbrella,38,631,269,437,44,825,269
19,umbrella,45,633,207,442,44,824,207
